notes,clef,name
C2;E2,Bass,Do-Mi
C2;G2,Bass,Do-Sol
D2;F2,Bass,Re-Fa
E2;G2,Bass,Mi-Sol
F2;A2,Bass,Fa-La
G2;B2,Bass,Sol-Si
A2;C3,Bass,La-Do
B2;D3,Bass,Si-Re
C3;E3,Bass,Do-Mi
D3;F3,Bass,Re-Fa
E3;G3,Bass,Mi-Sol
F3;A3,Bass,Fa-La
G3;B3,Bass,Sol-Si
A3;C4,Bass,La-Do
B3;D4,Bass,Si-Re
C4;E4,Treble,Do-Mi
C4;G4,Treble,Do-Sol
D4;F4,Treble,Re-Fa
E4;G4,Treble,Mi-Sol
F4;A4,Treble,Fa-La
G4;B4,Treble,Sol-Si
A4;C5,Treble,La-Do
B4;D5,Treble,Si-Re
C5;E5,Treble,Do-Mi
D5;F5,Treble,Re-Fa
E5;G5,Treble,Mi-Sol
F5;A5,Treble,Fa-La
G5;B5,Treble,Sol-Si
A5;C6,Treble,La-Do
B5;D6,Treble,Si-Re
C6;E6,Treble,Do-Mi
